electrode,x,y,z,w,h,d,default,all,bank0,double_length,bank1,bank2,bank3,bank4
0.0,-30.0,200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,-30.0,215.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,215.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4.0,-30.0,230.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5.0,2.0,230.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
6.0,-30.0,245.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,2.0,245.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8.0,-30.0,260.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,2.0,260.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10.0,-30.0,275.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11.0,2.0,275.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
12.0,-30.0,290.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.0,2.0,290.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
14.0,-30.0,305.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,305.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16.0,-30.0,320.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17.0,2.0,320.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
18.0,-30.0,335.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19.0,2.0,335.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
