electrode,x,y,z,w,h,d,default,all
0.0,-5.0,15.0,0.0,10.0,10.0,23.0,1.0,1.0
1.0,-5.0,40.0,0.0,10.0,10.0,23.0,1.0,1.0
2.0,-22.5,50.0,0.0,10.0,10.0,23.0,1.0,1.0
3.0,12.5,50.0,0.0,10.0,10.0,23.0,1.0,1.0
4.0,-5.0,65.0,0.0,10.0,10.0,23.0,1.0,1.0
5.0,-22.5,75.0,0.0,10.0,10.0,23.0,1.0,1.0
6.0,12.5,75.0,0.0,10.0,10.0,23.0,1.0,1.0
7.0,-5.0,90.0,0.0,10.0,10.0,23.0,1.0,1.0
8.0,-22.5,100.0,0.0,10.0,10.0,23.0,1.0,1.0
9.0,12.5,100.0,0.0,10.0,10.0,23.0,1.0,1.0
10.0,-5.0,115.0,0.0,10.0,10.0,23.0,1.0,1.0
11.0,-22.5,125.0,0.0,10.0,10.0,23.0,1.0,1.0
12.0,12.5,125.0,0.0,10.0,10.0,23.0,1.0,1.0
13.0,-5.0,140.0,0.0,10.0,10.0,23.0,1.0,1.0
14.0,-22.5,150.0,0.0,10.0,10.0,23.0,1.0,1.0
15.0,12.5,150.0,0.0,10.0,10.0,23.0,1.0,1.0
16.0,-5.0,165.0,0.0,10.0,10.0,23.0,1.0,1.0
17.0,-22.5,175.0,0.0,10.0,10.0,23.0,1.0,1.0
18.0,12.5,175.0,0.0,10.0,10.0,23.0,1.0,1.0
19.0,-5.0,190.0,0.0,10.0,10.0,23.0,1.0,1.0
20.0,-22.5,200.0,0.0,10.0,10.0,23.0,1.0,1.0
21.0,12.5,200.0,0.0,10.0,10.0,23.0,1.0,1.0
22.0,-5.0,215.0,0.0,10.0,10.0,23.0,1.0,1.0
23.0,-22.5,225.0,0.0,10.0,10.0,23.0,1.0,1.0
24.0,12.5,225.0,0.0,10.0,10.0,23.0,1.0,1.0
25.0,-5.0,240.0,0.0,10.0,10.0,23.0,1.0,1.0
26.0,-22.5,250.0,0.0,10.0,10.0,23.0,1.0,1.0
27.0,12.5,250.0,0.0,10.0,10.0,23.0,1.0,1.0
28.0,-5.0,265.0,0.0,10.0,10.0,23.0,1.0,1.0
29.0,-22.5,275.0,0.0,10.0,10.0,23.0,1.0,1.0
30.0,12.5,275.0,0.0,10.0,10.0,23.0,1.0,1.0
31.0,-5.0,290.0,0.0,10.0,10.0,23.0,1.0,1.0
