electrode,x,y,z,w,h,d,default,all
0.0,15.0,26.0,0.0,8.85,8.85,0.0,1.0,1.0
1.0,-15.0,49.0,0.0,8.85,8.85,0.0,1.0,1.0
2.0,15.0,72.0,0.0,8.85,8.85,0.0,1.0,1.0
3.0,-15.0,95.0,0.0,8.85,8.85,0.0,1.0,1.0
4.0,15.0,118.0,0.0,8.85,8.85,0.0,1.0,1.0
5.0,-15.0,141.0,0.0,8.85,8.85,0.0,1.0,1.0
6.0,15.0,164.0,0.0,8.85,8.85,0.0,1.0,1.0
7.0,-15.0,187.0,0.0,8.85,8.85,0.0,1.0,1.0
8.0,15.0,210.0,0.0,8.85,8.85,0.0,1.0,1.0
9.0,-15.0,233.0,0.0,8.85,8.85,0.0,1.0,1.0
10.0,15.0,256.0,0.0,8.85,8.85,0.0,1.0,1.0
11.0,-15.0,279.0,0.0,8.85,8.85,0.0,1.0,1.0
12.0,15.0,302.0,0.0,8.85,8.85,0.0,1.0,1.0
13.0,-15.0,325.0,0.0,8.85,8.85,0.0,1.0,1.0
14.0,15.0,348.0,0.0,8.85,8.85,0.0,1.0,1.0
15.0,-15.0,371.0,0.0,8.85,8.85,0.0,1.0,1.0
16.0,215.0,26.0,0.0,8.85,8.85,0.0,1.0,1.0
17.0,185.0,49.0,0.0,8.85,8.85,0.0,1.0,1.0
18.0,215.0,72.0,0.0,8.85,8.85,0.0,1.0,1.0
19.0,185.0,95.0,0.0,8.85,8.85,0.0,1.0,1.0
20.0,215.0,118.0,0.0,8.85,8.85,0.0,1.0,1.0
21.0,185.0,141.0,0.0,8.85,8.85,0.0,1.0,1.0
22.0,215.0,164.0,0.0,8.85,8.85,0.0,1.0,1.0
23.0,185.0,187.0,0.0,8.85,8.85,0.0,1.0,1.0
24.0,215.0,210.0,0.0,8.85,8.85,0.0,1.0,1.0
25.0,185.0,233.0,0.0,8.85,8.85,0.0,1.0,1.0
26.0,215.0,256.0,0.0,8.85,8.85,0.0,1.0,1.0
27.0,185.0,279.0,0.0,8.85,8.85,0.0,1.0,1.0
28.0,215.0,302.0,0.0,8.85,8.85,0.0,1.0,1.0
29.0,185.0,325.0,0.0,8.85,8.85,0.0,1.0,1.0
30.0,215.0,348.0,0.0,8.85,8.85,0.0,1.0,1.0
31.0,185.0,371.0,0.0,8.85,8.85,0.0,1.0,1.0
32.0,415.0,26.0,0.0,8.85,8.85,0.0,1.0,1.0
33.0,385.0,49.0,0.0,8.85,8.85,0.0,1.0,1.0
34.0,415.0,72.0,0.0,8.85,8.85,0.0,1.0,1.0
35.0,385.0,95.0,0.0,8.85,8.85,0.0,1.0,1.0
36.0,415.0,118.0,0.0,8.85,8.85,0.0,1.0,1.0
37.0,385.0,141.0,0.0,8.85,8.85,0.0,1.0,1.0
38.0,415.0,164.0,0.0,8.85,8.85,0.0,1.0,1.0
39.0,385.0,187.0,0.0,8.85,8.85,0.0,1.0,1.0
40.0,415.0,210.0,0.0,8.85,8.85,0.0,1.0,1.0
41.0,385.0,233.0,0.0,8.85,8.85,0.0,1.0,1.0
42.0,415.0,256.0,0.0,8.85,8.85,0.0,1.0,1.0
43.0,385.0,279.0,0.0,8.85,8.85,0.0,1.0,1.0
44.0,415.0,302.0,0.0,8.85,8.85,0.0,1.0,1.0
45.0,385.0,325.0,0.0,8.85,8.85,0.0,1.0,1.0
46.0,415.0,348.0,0.0,8.85,8.85,0.0,1.0,1.0
47.0,385.0,371.0,0.0,8.85,8.85,0.0,1.0,1.0
48.0,615.0,26.0,0.0,8.85,8.85,0.0,1.0,1.0
49.0,585.0,49.0,0.0,8.85,8.85,0.0,1.0,1.0
50.0,615.0,72.0,0.0,8.85,8.85,0.0,1.0,1.0
51.0,585.0,95.0,0.0,8.85,8.85,0.0,1.0,1.0
52.0,615.0,118.0,0.0,8.85,8.85,0.0,1.0,1.0
53.0,585.0,141.0,0.0,8.85,8.85,0.0,1.0,1.0
54.0,615.0,164.0,0.0,8.85,8.85,0.0,1.0,1.0
55.0,585.0,187.0,0.0,8.85,8.85,0.0,1.0,1.0
56.0,615.0,210.0,0.0,8.85,8.85,0.0,1.0,1.0
57.0,585.0,233.0,0.0,8.85,8.85,0.0,1.0,1.0
58.0,615.0,256.0,0.0,8.85,8.85,0.0,1.0,1.0
59.0,585.0,279.0,0.0,8.85,8.85,0.0,1.0,1.0
60.0,615.0,302.0,0.0,8.85,8.85,0.0,1.0,1.0
61.0,585.0,325.0,0.0,8.85,8.85,0.0,1.0,1.0
62.0,615.0,348.0,0.0,8.85,8.85,0.0,1.0,1.0
63.0,585.0,371.0,0.0,8.85,8.85,0.0,1.0,1.0
