electrode,x,y,z,w,h,d,default,all,bank0,double_length
0.0,-14.0,200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
1.0,18.0,200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
2.0,-30.0,220.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
3.0,2.0,220.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
4.0,-14.0,240.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
5.0,18.0,240.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
6.0,-30.0,260.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
7.0,2.0,260.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
8.0,-14.0,280.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
9.0,18.0,280.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
10.0,-30.0,300.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
11.0,2.0,300.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
12.0,-14.0,320.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
13.0,18.0,320.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
14.0,-30.0,340.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
15.0,2.0,340.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
16.0,-14.0,360.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
17.0,18.0,360.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
18.0,-30.0,380.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
19.0,2.0,380.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
20.0,-14.0,400.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
21.0,18.0,400.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
22.0,-30.0,420.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
23.0,2.0,420.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
24.0,-14.0,440.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
25.0,18.0,440.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
26.0,-30.0,460.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
27.0,2.0,460.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
28.0,-14.0,480.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
29.0,18.0,480.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
30.0,-30.0,500.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
31.0,2.0,500.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
32.0,-14.0,520.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
33.0,18.0,520.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
34.0,-30.0,540.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
35.0,2.0,540.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
36.0,-14.0,560.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
37.0,18.0,560.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
38.0,-30.0,580.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
39.0,2.0,580.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
40.0,-14.0,600.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
41.0,18.0,600.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
42.0,-30.0,620.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
43.0,2.0,620.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
44.0,-14.0,640.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
45.0,18.0,640.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
46.0,-30.0,660.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
47.0,2.0,660.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
48.0,-14.0,680.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
49.0,18.0,680.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
50.0,-30.0,700.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
51.0,2.0,700.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
52.0,-14.0,720.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
53.0,18.0,720.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
54.0,-30.0,740.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
55.0,2.0,740.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
56.0,-14.0,760.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
57.0,18.0,760.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
58.0,-30.0,780.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
59.0,2.0,780.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
60.0,-14.0,800.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
61.0,18.0,800.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
62.0,-30.0,820.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
63.0,2.0,820.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
64.0,-14.0,840.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
65.0,18.0,840.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
66.0,-30.0,860.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
67.0,2.0,860.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
68.0,-14.0,880.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
69.0,18.0,880.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
70.0,-30.0,900.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
71.0,2.0,900.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
72.0,-14.0,920.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
73.0,18.0,920.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
74.0,-30.0,940.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
75.0,2.0,940.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
76.0,-14.0,960.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
77.0,18.0,960.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
78.0,-30.0,980.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
79.0,2.0,980.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
80.0,-14.0,1000.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
81.0,18.0,1000.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
82.0,-30.0,1020.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
83.0,2.0,1020.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
84.0,-14.0,1040.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
85.0,18.0,1040.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
