electrode,x,y,z,w,h,d,default,all,bank0,double_length
0,-30,200,0,12,12,24,1,1,1,0
1,2,200,0,12,12,24,1,1,1,1
2,-30,215,0,12,12,24,1,1,1,0
3,2,215,0,12,12,24,1,1,1,1
4,-30,230,0,12,12,24,1,1,1,0
5,2,230,0,12,12,24,1,1,1,1
6,-30,245,0,12,12,24,1,1,1,0
7,2,245,0,12,12,24,1,1,1,1
8,-30,260,0,12,12,24,1,1,1,0
9,2,260,0,12,12,24,1,1,1,1
10,-30,275,0,12,12,24,1,1,1,0
11,2,275,0,12,12,24,1,1,1,1
12,-30,290,0,12,12,24,1,1,1,0
13,2,290,0,12,12,24,1,1,1,1
14,-30,305,0,12,12,24,1,1,1,0
15,2,305,0,12,12,24,1,1,1,1
16,-30,320,0,12,12,24,1,1,1,0
17,2,320,0,12,12,24,1,1,1,1
18,-30,335,0,12,12,24,1,1,1,0
19,2,335,0,12,12,24,1,1,1,1
20,-30,350,0,12,12,24,1,1,1,0
21,2,350,0,12,12,24,1,1,1,1
22,-30,365,0,12,12,24,1,1,1,0
23,2,365,0,12,12,24,1,1,1,1
24,-30,380,0,12,12,24,1,1,1,0
25,2,380,0,12,12,24,1,1,1,1
26,-30,395,0,12,12,24,1,1,1,0
27,2,395,0,12,12,24,1,1,1,1
28,-30,410,0,12,12,24,1,1,1,0
29,2,410,0,12,12,24,1,1,1,1
30,-30,425,0,12,12,24,1,1,1,0
31,2,425,0,12,12,24,1,1,1,1
32,-30,440,0,12,12,24,1,1,1,0
33,2,440,0,12,12,24,1,1,1,1
34,-30,455,0,12,12,24,1,1,1,0
35,2,455,0,12,12,24,1,1,1,1
36,-30,470,0,12,12,24,1,1,1,0
37,2,470,0,12,12,24,1,1,1,1
38,-30,485,0,12,12,24,1,1,1,0
39,2,485,0,12,12,24,1,1,1,1
40,-30,500,0,12,12,24,1,1,1,0
41,2,500,0,12,12,24,1,1,1,1
42,-30,515,0,12,12,24,1,1,1,0
43,2,515,0,12,12,24,1,1,1,1
44,-30,530,0,12,12,24,1,1,1,0
45,2,530,0,12,12,24,1,1,1,1
46,-30,545,0,12,12,24,1,1,1,0
47,2,545,0,12,12,24,1,1,1,1
48,-30,560,0,12,12,24,1,1,1,0
49,2,560,0,12,12,24,1,1,1,1
50,-30,575,0,12,12,24,1,1,1,0
51,2,575,0,12,12,24,1,1,1,1
52,-30,590,0,12,12,24,1,1,1,0
53,2,590,0,12,12,24,1,1,1,1
