electrode,x,y,z,w,h,d,default,all
0,0,0,0,50,100,24,1,1
1,0,100,0,50,100,24,1,1
2,0,200,0,50,100,24,1,1
3,0,300,0,50,100,24,1,1
4,0,400,0,50,100,24,1,1
5,0,500,0,50,100,24,1,1
6,0,600,0,50,100,24,1,1
7,0,700,0,50,100,24,1,1
8,0,800,0,50,100,24,1,1
9,0,900,0,50,100,24,1,1
10,0,1000,0,50,100,24,1,1
11,0,1100,0,50,100,24,1,1
12,0,1200,0,50,100,24,1,1
13,0,1300,0,50,100,24,1,1
14,0,1400,0,50,100,24,1,1
15,0,1500,0,50,100,24,1,1
16,0,1600,0,50,100,24,1,1
17,0,1700,0,50,100,24,1,1
18,0,1800,0,50,100,24,1,1
19,0,1900,0,50,100,24,1,1
20,0,2000,0,50,100,24,1,1
21,0,2100,0,50,100,24,1,1
22,0,2200,0,50,100,24,1,1
23,0,2300,0,50,100,24,1,1
24,0,2400,0,50,100,24,1,1
25,0,2500,0,50,100,24,1,1
26,0,2600,0,50,100,24,1,1
27,0,2700,0,50,100,24,1,1
28,0,2800,0,50,100,24,1,1
29,0,2900,0,50,100,24,1,1
30,0,3000,0,50,100,24,1,1
31,0,3100,0,50,100,24,1,1
32,0,3200,0,50,100,24,1,1
33,0,3300,0,50,100,24,1,1
34,0,3400,0,50,100,24,1,1
35,0,3500,0,50,100,24,1,1
36,0,3600,0,50,100,24,1,1
37,0,3700,0,50,100,24,1,1
38,0,3800,0,50,100,24,1,1
39,0,3900,0,50,100,24,1,1
40,0,4000,0,50,100,24,1,1
41,0,4100,0,50,100,24,1,1
42,0,4200,0,50,100,24,1,1
43,0,4300,0,50,100,24,1,1
44,0,4400,0,50,100,24,1,1
45,0,4500,0,50,100,24,1,1
46,0,4600,0,50,100,24,1,1
47,0,4700,0,50,100,24,1,1
48,0,4800,0,50,100,24,1,1
49,0,4900,0,50,100,24,1,1
