id,ap,ml,dv
184,2.598461,4.649119,2.755048
985,4.57436,3.526373,2.379134
993,4.174195,4.212851,2.144628
353,5.695091,2.115247,2.444368
329,6.775681,2.303915,1.830997
337,5.851298,3.920214,1.344242
345,4.601884,2.282666,2.917562
369,5.514743,3.235752,1.738152
361,6.621314,3.77843,0.9723258
182305689,5.865824,2.891252,1.683574
378,6.074306,1.568233,2.939877
1057,4.696849,1.969769,4.451807
677,5.962963,1.349201,4.354573
1011,7.522707,1.443444,2.405408
1002,7.948837,1.202522,2.749219
1027,8.41174,1.434068,2.363704
1018,7.883508,1.157344,3.263613
402,8.228118,2.013543,1.663513
394,7.610661,3.873538,0.7331519
409,9.189496,2.090182,1.816251
385,9.028262,3.202887,1.310673
425,9.922847,2.505481,2.226255
533,8.636317,3.853794,0.7463543
312782574,9.084547,1.797935,2.125717
312782628,9.62915,1.575994,2.764303
39,4.402122,5.138064,1.926283
48,5.020655,5.259427,2.57989
972,2.979725,5.118215,2.731884
44,3.478929,5.225133,3.842464
723,2.880337,4.154006,3.789375
731,2.743558,5.153034,3.643621
746,2.776488,4.978661,3.664741
104,3.524894,2.885073,4.218964
111,5.877573,1.54115,5.114923
119,3.708257,2.828899,4.650329
894,8.190133,4.072977,1.10708
879,8.098469,4.380629,1.262283
886,7.674915,4.808782,1.279885
312782546,7.23565,3.693901,0.8993309
417,7.761549,2.559441,1.271632
541,8.18646,1.239739,3.114974
922,8.257578,1.106216,4.309874
895,8.219813,1.141932,4.058476
507,1.505959,4.621861,4.411317
151,1.876319,4.521752,3.659526
159,2.793973,4.635461,5.218081
597,3.471509,5.409936,4.721402
605,3.061409,5.251318,6.021205
814,3.629637,5.305337,4.187584
961,5.645566,2.729686,5.864198
619,6.055581,3.598288,6.921419
639,6.292707,3.183129,7.100662
647,7.884022,2.954957,6.84856
788,6.698102,2.505878,6.966468
566,8.404186,1.799186,6.376587
382,7.683149,3.477644,3.700851
423,7.30463,3.639077,3.911268
463,7.429723,3.699002,4.131461
726,7.651141,3.903489,4.18009
982,7.202291,5.547428,2.229239
19,5.070204,5.616963,3.122633
918,8.506044,1.40746,4.363203
926,9.64733,2.071433,4.425676
843,9.864577,2.495587,3.80116
1037,9.014359,3.658097,2.135612
1084,9.325284,2.921247,3.974863
502,8.519304,3.546099,3.645632
484682470,8.42501,3.310377,3.738551
589508447,4.635065,1.838936,3.127124
484682508,9.676064,3.40639,2.328779
583,5.00017,2.862308,4.568265
952,5.754415,2.905452,5.269846
966,7.031538,2.391759,6.205719
131,7.069658,2.141677,5.28429
295,7.24883,2.404148,6.175549
319,6.943274,2.843664,6.322807
780,8.02986,3.163259,6.289847
672,5.700611,3.338976,4.195749
56,4.249859,4.27295,5.638776
998,5.503763,3.519985,6.009236
754,4.406253,4.237956,6.810781
250,5.249086,5.145653,3.122519
258,4.736138,5.222698,4.147175
266,4.810602,5.134124,4.744522
310,5.433149,5.221549,3.711579
333,4.322034,5.555099,3.966198
23,5.792554,3.653178,6.558849
292,6.378312,3.763696,7.049703
536,6.648083,3.087075,5.671505
1105,6.481151,2.876868,6.081891
403,6.679858,3.567939,6.236313
1022,6.282837,3.397276,4.738448
1031,6.544749,3.601333,5.152657
342,5.230436,4.2301,5.983387
298,5.343686,3.998708,6.543249
564,4.676048,5.586074,4.924995
596,4.882472,4.934557,6.137129
581,5.615182,5.302463,3.501678
351,5.281322,4.812687,4.947834
629,6.543819,4.530331,4.341517
685,6.753646,4.786552,5.016764
718,6.927639,3.709412,4.16902
725,7.461328,4.357394,4.52851
733,7.060172,3.952204,4.150054
741,7.353569,5.034905,4.658503
563807435,4.294024,2.241841,2.166656
406,7.775303,4.683039,4.651349
609,7.502974,5.555423,4.176404
1044,8.501534,3.41782,4.335833
475,8.343987,3.558874,3.829645
170,7.482407,3.383746,3.281292
218,7.597586,4.16779,3.194727
1020,7.168936,4.324889,3.946162
1029,8.179138,4.064631,3.533163
325,8.343741,3.660481,3.413535
560581551,3.998058,2.345944,2.048598
255,6.059981,4.622815,3.878248
127,6.09128,4.99796,4.477021
64,6.083385,4.865651,3.552463
1120,6.273108,5.543674,4.544635
1113,6.112225,5.141808,4.17358
155,6.573014,4.231424,3.259862
59,6.835605,5.587548,4.063848
362,6.628063,5.214642,3.968112
366,6.700172,5.271572,4.919539
1077,6.562584,5.219227,5.212981
149,6.498053,5.514659,4.1262
15,5.855069,5.371551,4.504735
181,6.44424,5.43424,5.122715
560581559,3.521219,2.849499,2.759609
189,6.574498,5.549499,4.732482
599,6.64458,5.490235,4.409232
907,6.861215,4.99988,4.325472
575,6.83548,4.816818,3.553847
930,7.522051,5.030329,3.871594
560581563,4.427447,1.951669,2.208576
262,6.586033,3.971018,4.294448
27,7.738334,3.117279,3.668581
563807439,4.027153,1.708048,2.072123
178,7.510817,3.097159,3.795075
321,7.654305,3.126884,4.51846
483,6.823905,5.467935,3.04318
186,6.84929,5.223732,3.172328
390,5.866384,4.523782,6.731416
38,6.054651,5.501925,5.67727
30,6.013256,5.642962,6.417926
118,6.841156,5.640018,6.278716
223,6.903781,5.4474,6.998333
72,5.056444,5.39639,5.556742
263,5.050384,5.160534,6.38296
272,4.895965,5.482915,6.452045
830,7.075778,5.291851,6.226433
452,5.112278,5.657507,5.434044
523,5.258411,5.229564,6.241933
1109,5.058109,5.013861,5.777819
126,7.668837,5.465495,6.808037
133,5.511329,5.577949,6.204194
347,6.006637,5.502604,6.359566
286,5.898558,5.54861,6.835269
338,5.856076,5.623423,3.37276
576073699,2.777414,2.723765,3.471979
689,5.275821,4.916142,6.851365
88,6.10468,5.127159,6.294612
210,7.922152,4.721553,6.209509
491,8.067854,5.289112,6.116448
525,7.926977,5.250752,5.807707
557,7.541791,5.051646,6.624318
515,5.522793,5.351356,6.178034
980,7.660485,5.279786,6.203323
1004,7.574471,5.082449,6.618768
63,6.49478,5.212788,5.69564
693,6.81267,5.229732,6.682012
946,7.509052,5.299337,5.537777
194,6.811286,4.519256,5.962782
226,5.172328,4.65953,6.095235
364,7.442348,4.512572,5.6844
576073704,3.41018,2.531932,3.188143
173,6.13753,5.216948,6.943788
470,7.27783,4.014537,5.403889
614,6.852415,4.780873,6.81919
797,7.037723,4.18602,4.835151
302,9.216215,4.858593,1.645283
4,10.14171,4.537645,2.187806
580,9.054183,3.588367,3.313181
271,9.469502,3.803995,3.74054
874,9.430187,3.562068,3.842934
381,8.406775,4.171496,5.115158
749,8.351975,4.867937,5.153221
607344830,4.364503,2.731055,2.68948
246,8.998037,4.509501,4.581474
128,8.999092,4.596585,3.904044
294,9.206299,4.674285,2.419142
795,8.975238,5.159648,3.249701
215,8.025689,4.413772,3.317471
531,8.061474,5.297176,2.383263
