ml,ap,dv,phi,theta,depth
-800,2500,-1098,180,15,4000
-800,2000,-908,180,15,4000
464,1250,-741,0,17,6222
-2947,1250,-1455,0,10,3674
-2913,750,-1169,0,10,4323
-3564,-1000,-979,180,15,4000
986,-1250,-49,0,17,6747
493,-1750,21,0,17,6272
-2880,-2250,-360,0,10,6186
-3430,-2250,-646,0,10,5365
-800,-2500,92,180,15,4000
-3577,-3000,-741,180,15,4000
-3997,-3250,-1074,0,10,4128
-800,-3250,44,0,10,5292
-2829,-4750,-694,0,10,4398
-986,-5250,-858,180,17,5950
787,-5750,-741,0,10,6042
2421,-6000,-1122,180,15,4000
787,-6250,-646,0,10,6235
1870,-6500,-837,180,15,4000
2236,-6750,-1032,0,10,5746
1779,-7250,-1074,0,10,5896
-1600,3075,0,190,15,4200
-1800,2600,0,0,15,2400
-2100,2575,0,190,15,4000
-1500,2575,0,190,15,4100
-2000,2225,0,0,20,2600
-1200,2050,0,0,20,3900
-2800,1425,0,180,15,5100
-2200,1425,0,180,15,5400
-1600,500,0,0,5,6200
-2500,-400,0,-20,15,5000
-3100,-900,0,0,15,3800
-2500,-1000,0,0,15,5200
-3600,-1350,0,0,15,3900
-2200,-2100,0,180,15,6500
-3600,-2150,0,0,20,3400
-3100,-2150,0,0,20,4400
-2400,-2150,0,0,20,5500
-1900,-2150,0,0,20,6400
-3600,-2650,0,0,20,3500
-3100,-2650,0,0,20,4400
-2400,-2650,0,0,20,5500
-1900,-2650,0,0,20,6400
-1600,-3200,0,180,10,5900
-2200,-3550,0,180,10,6200
-2700,-4500,0,5,20,3700
-1600,-5000,0,190,15,5500
2400,-5700,0,180,15,4900
2300,-6975,0,10,10,5300
1800,-7000,0,10,10,5000
-614,3100,0,180,5,3300
-2039,3200,0,180,15,3400
-2555,1850,0,0,18,2500
-2089,1850,0,0,17,3400
-3589,600,0,0,10,3000
-3439,1100,0,0,10,2600
-500,925,0,180,5,4000
-600,425,0,180,15,3000
-3200,75,0,0,17,3700
-3739,-425,0,0,15,3300
-800,-75,0,180,5,6100
-1800,-75,0,180,5,6000
-600,-400,0,180,15,3000
-2000,-825,0,180,15,6500
-1400,-4900,0,0,15,4900
-600,-4775,0,180,5,4000
2161,-5250,0,0,20,4000
2800,-5325,0,0,20,4000
2736,-4975,0,0,15,4000
736,-5550,0,0,5,6000
661,-5800,0,0,15,4000
300,-6950,0,0,5,4000
450,-7450,0,0,5,4000
1400,-5625,0,0,5,5600
3300,-5625,0,0,20,4900
-1300,-4675,0,180,5,5400
1200,-7500,0,0,10,4700
2036,-7400,0,180,15,2100
1900,-7450,0,0,5,4600
-1500,-3600,0,180,10,6400
-800,-1700,0,180,5,6800
-1400,3350,0,180,15,4100
-1700,3500,0,180,15,3400
-1189,2725,0,180,15,3700
-2300,2575,0,0,17,1700
-700,2925,0,180,19,2500
-700,2200,0,180,19,2500
-1500,1800,0,0,15,4200
336,-6450,0,0,5,4000
3100,-6100,0,180,15,2300
1350,-6025,0,0,10,6000
2000,-6050,0,0,5,5700
1736,-5550,0,0,5,5600
400,-5550,0,0,15,4000
1000,-5550,0,0,15,4000
-200,-6025,0,180,15,4000
3100,-5625,0,180,19,1800
2200,-5600,0,0,15,4000
-900,-5125,0,180,5,6000
1600,-5125,0,0,15,4000
2200,-5000,0,0,15,4000
3350,-5250,0,0,15,4000
-3200,-4925,0,0,19,3000
-4300,-3550,0,0,10,2800
-700,-3575,0,180,15,3000
-4000,-2300,0,0,19,3000
-4164,-1500,0,0,15,3000
-3200,-1650,0,0,15,4900
2000,-6850,0,180,15,3000
-2460,-3775,0,180,10,6000
-2600,-400,0,0,10,5600
-2500,-450,0,180,15,6200
-1900,-1325,0,0,10,6900
-600,-1100,0,180,15,3000
-1220,-2825,0,180,10,6000
-1000,-4975,0,0,15,5500
-600,-4200,0,180,17,3500
-3300,-4300,0,0,17,4000
-2800,-3200,0,0,10,5800
-2150,-3200,0,0,10,6300
-4100,-2875,0,0,17,2800
-989,-3275,0,180,10,6200
-1800,-2125,0,180,15,6750
-1800,-800,0,0,15,6700
-3000,-1275,0,0,15,5000
1400,-1250,0,0,15,6900
-2200,1225,0,180,15,3000
