,id,atlas_id,name,acronym,parent_structure_id,depth,graph_order,structure_id_path,color_hex_triplet,color_hex_code,safe_name,beryl_id,cosmos_id
0,997,-1,root,root,-2,0,0,/997/,FFFFFF,#FFFFFF,root,997,997
1,8,0,Basic cell groups and regions,grey,997,1,1,/997/8/,BFDAE3,#BFDAE3,Basic cell groups and regions,997,997
2,567,70,Cerebrum,CH,8,2,2,/997/8/567/,B0F0FF,#B0F0FF,Cerebrum,997,997
3,688,85,Cerebral cortex,CTX,567,3,3,/997/8/567/688/,B0FFB8,#B0FFB8,Cerebral cortex,997,997
4,695,86,Cortical plate,CTXpl,688,4,4,/997/8/567/688/695/,70FF70,#70FF70,Cortical plate,997,997
5,315,746,Isocortex,Isocortex,695,5,5,/997/8/567/688/695/315/,70FF71,#70FF71,Isocortex,997,315
6,184,871,Frontal pole cerebral cortex,FRP,315,6,6,/997/8/567/688/695/315/184/,268F45,#268F45,Frontal pole cerebral cortex,184,315
7,68,998,Frontal pole layer 1,FRP1,184,7,7,/997/8/567/688/695/315/184/68/,268F45,#268F45,Frontal pole layer 1,184,315
8,667,1073,Frontal pole layer 2/3,FRP2/3,184,7,8,/997/8/567/688/695/315/184/667/,268F45,#268F45,Frontal pole layer 2/3,184,315
9,526157192,-2,Frontal pole layer 5,FRP5,184,7,9,/997/8/567/688/695/315/184/526157192/,268F45,#268F45,Frontal pole layer 5,184,315
10,526157196,-2,Frontal pole layer 6a,FRP6a,184,7,10,/997/8/567/688/695/315/184/526157196/,268F45,#268F45,Frontal pole layer 6a,184,315
11,526322264,-2,Frontal pole layer 6b,FRP6b,184,7,11,/997/8/567/688/695/315/184/526322264/,268F45,#268F45,Frontal pole layer 6b,184,315
12,500,203,Somatomotor areas,MO,315,6,12,/997/8/567/688/695/315/500/,1F9D5A,#1F9D5A,Somatomotor areas,997,315
13,107,1003,Somatomotor areas Layer 1,MO1,500,7,13,/997/8/567/688/695/315/500/107/,1F9D5A,#1F9D5A,Somatomotor areas Layer 1,997,315
14,219,1017,Somatomotor areas Layer 2/3,MO2/3,500,7,14,/997/8/567/688/695/315/500/219/,1F9D5A,#1F9D5A,Somatomotor areas Layer 2/3,997,315
15,299,1027,Somatomotor areas Layer 5,MO5,500,7,15,/997/8/567/688/695/315/500/299/,1F9D5A,#1F9D5A,Somatomotor areas Layer 5,997,315
16,644,787,Somatomotor areas Layer 6a,MO6a,500,7,16,/997/8/567/688/695/315/500/644/,1F9D5A,#1F9D5A,Somatomotor areas Layer 6a,997,315
17,947,825,Somatomotor areas Layer 6b,MO6b,500,7,17,/997/8/567/688/695/315/500/947/,1F9D5A,#1F9D5A,Somatomotor areas Layer 6b,997,315
18,985,830,Primary motor area,MOp,500,7,18,/997/8/567/688/695/315/500/985/,1F9D5A,#1F9D5A,Primary motor area,985,315
19,320,888,Primary motor area Layer 1,MOp1,985,8,19,/997/8/567/688/695/315/500/985/320/,1F9D5A,#1F9D5A,Primary motor area Layer 1,985,315
20,943,966,Primary motor area Layer 2/3,MOp2/3,985,8,20,/997/8/567/688/695/315/500/985/943/,1F9D5A,#1F9D5A,Primary motor area Layer 2/3,985,315
21,648,929,Primary motor area Layer 5,MOp5,985,8,21,/997/8/567/688/695/315/500/985/648/,1F9D5A,#1F9D5A,Primary motor area Layer 5,985,315
22,844,1095,Primary motor area Layer 6a,MOp6a,985,8,22,/997/8/567/688/695/315/500/985/844/,1F9D5A,#1F9D5A,Primary motor area Layer 6a,985,315
23,882,1100,Primary motor area Layer 6b,MOp6b,985,8,23,/997/8/567/688/695/315/500/985/882/,1F9D5A,#1F9D5A,Primary motor area Layer 6b,985,315
24,993,831,Secondary motor area,MOs,500,7,24,/997/8/567/688/695/315/500/993/,1F9D5A,#1F9D5A,Secondary motor area,993,315
25,656,930,Secondary motor area layer 1,MOs1,993,8,25,/997/8/567/688/695/315/500/993/656/,1F9D5A,#1F9D5A,Secondary motor area layer 1,993,315
26,962,1110,Secondary motor area layer 2/3,MOs2/3,993,8,26,/997/8/567/688/695/315/500/993/962/,1F9D5A,#1F9D5A,Secondary motor area layer 2/3,993,315
27,767,944,Secondary motor area layer 5,MOs5,993,8,27,/997/8/567/688/695/315/500/993/767/,1F9D5A,#1F9D5A,Secondary motor area layer 5,993,315
28,1021,1117,Secondary motor area layer 6a,MOs6a,993,8,28,/997/8/567/688/695/315/500/993/1021/,1F9D5A,#1F9D5A,Secondary motor area layer 6a,993,315
29,1085,1125,Secondary motor area layer 6b,MOs6b,993,8,29,/997/8/567/688/695/315/500/993/1085/,1F9D5A,#1F9D5A,Secondary motor area layer 6b,993,315
30,453,339,Somatosensory areas,SS,315,6,30,/997/8/567/688/695/315/453/,188064,#188064,Somatosensory areas,997,315
31,12993,-2,Somatosensory areas layer 1,SS1,453,7,31,/997/8/567/688/695/315/453/12993/,188064,#188064,Somatosensory areas layer 1,997,315
32,12994,-2,Somatosensory areas layer 2/3,SS2/3,453,7,32,/997/8/567/688/695/315/453/12994/,188064,#188064,Somatosensory areas layer 2/3,997,315
33,12995,-2,Somatosensory areas layer 4,SS4,453,7,33,/997/8/567/688/695/315/453/12995/,188064,#188064,Somatosensory areas layer 4,997,315
34,12996,-2,Somatosensory areas layer 5,SS5,453,7,34,/997/8/567/688/695/315/453/12996/,188064,#188064,Somatosensory areas layer 5,997,315
35,12997,-2,Somatosensory areas layer 6a,SS6a,453,7,35,/997/8/567/688/695/315/453/12997/,188064,#188064,Somatosensory areas layer 6a,997,315
36,12998,-2,Somatosensory areas layer 6b,SS6b,453,7,36,/997/8/567/688/695/315/453/12998/,188064,#188064,Somatosensory areas layer 6b,997,315
37,322,747,Primary somatosensory area,SSp,453,7,37,/997/8/567/688/695/315/453/322/,188064,#188064,Primary somatosensory area,997,315
38,793,1089,Primary somatosensory area layer 1,SSp1,322,8,38,/997/8/567/688/695/315/453/322/793/,188064,#188064,Primary somatosensory area layer 1,997,315
39,346,1033,Primary somatosensory area layer 2/3,SSp2/3,322,8,39,/997/8/567/688/695/315/453/322/346/,188064,#188064,Primary somatosensory area layer 2/3,997,315
40,865,1098,Primary somatosensory area layer 4,SSp4,322,8,40,/997/8/567/688/695/315/453/322/865/,188064,#188064,Primary somatosensory area layer 4,997,315
41,921,1105,Primary somatosensory area layer 5,SSp5,322,8,41,/997/8/567/688/695/315/453/322/921/,188064,#188064,Primary somatosensory area layer 5,997,315
42,686,934,Primary somatosensory area layer 6a,SSp6a,322,8,42,/997/8/567/688/695/315/453/322/686/,188064,#188064,Primary somatosensory area layer 6a,997,315
43,719,938,Primary somatosensory area layer 6b,SSp6b,322,8,43,/997/8/567/688/695/315/453/322/719/,188064,#188064,Primary somatosensory area layer 6b,997,315
44,353,751,Primary somatosensory area nose,SSp-n,322,8,44,/997/8/567/688/695/315/453/322/353/,188064,#188064,Primary somatosensory area nose,353,315
45,558,635,Primary somatosensory area nose layer 1,SSp-n1,353,9,45,/997/8/567/688/695/315/453/322/353/558/,188064,#188064,Primary somatosensory area nose layer 1,353,315
46,838,953,Primary somatosensory area nose layer 2/3,SSp-n2/3,353,9,46,/997/8/567/688/695/315/453/322/353/838/,188064,#188064,Primary somatosensory area nose layer 2/3,353,315
47,654,647,Primary somatosensory area nose layer 4,SSp-n4,353,9,47,/997/8/567/688/695/315/453/322/353/654/,188064,#188064,Primary somatosensory area nose layer 4,353,315
48,702,653,Primary somatosensory area nose layer 5,SSp-n5,353,9,48,/997/8/567/688/695/315/453/322/353/702/,188064,#188064,Primary somatosensory area nose layer 5,353,315
49,889,1101,Primary somatosensory area nose layer 6a,SSp-n6a,353,9,49,/997/8/567/688/695/315/453/322/353/889/,188064,#188064,Primary somatosensory area nose layer 6a,353,315
50,929,1106,Primary somatosensory area nose layer 6b,SSp-n6b,353,9,50,/997/8/567/688/695/315/453/322/353/929/,188064,#188064,Primary somatosensory area nose layer 6b,353,315
51,329,748,Primary somatosensory area barrel field,SSp-bfd,322,8,51,/997/8/567/688/695/315/453/322/329/,188064,#188064,Primary somatosensory area barrel field,329,315
52,981,971,Primary somatosensory area barrel field layer 1,SSp-bfd1,329,9,52,/997/8/567/688/695/315/453/322/329/981/,188064,#188064,Primary somatosensory area barrel field layer 1,329,315
53,201,1015,Primary somatosensory area barrel field layer 2/3,SSp-bfd2/3,329,9,53,/997/8/567/688/695/315/453/322/329/201/,188064,#188064,Primary somatosensory area barrel field layer 2/3,329,315
54,1047,979,Primary somatosensory area barrel field layer 4,SSp-bfd4,329,9,54,/997/8/567/688/695/315/453/322/329/1047/,188064,#188064,Primary somatosensory area barrel field layer 4,329,315
55,1070,982,Primary somatosensory area barrel field layer 5,SSp-bfd5,329,9,55,/997/8/567/688/695/315/453/322/329/1070/,188064,#188064,Primary somatosensory area barrel field layer 5,329,315
56,1038,978,Primary somatosensory area barrel field layer 6a,SSp-bfd6a,329,9,56,/997/8/567/688/695/315/453/322/329/1038/,188064,#188064,Primary somatosensory area barrel field layer 6a,329,315
57,1062,981,Primary somatosensory area barrel field layer 6b,SSp-bfd6b,329,9,57,/997/8/567/688/695/315/453/322/329/1062/,188064,#188064,Primary somatosensory area barrel field layer 6b,329,315
58,480149202,-2,Rostrolateral lateral visual area,VISrll,329,9,58,/997/8/567/688/695/315/453/322/329/480149202/,188064,#188064,Rostrolateral lateral visual area,329,315
59,480149206,-2,Rostrolateral lateral visual area layer 1,VISrll1,480149202,10,59,/997/8/567/688/695/315/453/322/329/480149202/480149206/,188064,#188064,Rostrolateral lateral visual area layer 1,329,315
60,480149210,-2,Rostrolateral lateral visual area layer 2/3,VISrll2/3,480149202,10,60,/997/8/567/688/695/315/453/322/329/480149202/480149210/,188064,#188064,Rostrolateral lateral visual area layer 2/3,329,315
61,480149214,-2,Rostrolateral lateral visual area layer 4,VISrll4,480149202,10,61,/997/8/567/688/695/315/453/322/329/480149202/480149214/,188064,#188064,Rostrolateral lateral visual area layer 4,329,315
62,480149218,-2,Rostrolateral lateral visual arealayer 5,VISrll5,480149202,10,62,/997/8/567/688/695/315/453/322/329/480149202/480149218/,188064,#188064,Rostrolateral lateral visual arealayer 5,329,315
63,480149222,-2,Rostrolateral lateral visual area layer 6a,VISrll6a,480149202,10,63,/997/8/567/688/695/315/453/322/329/480149202/480149222/,188064,#188064,Rostrolateral lateral visual area layer 6a,329,315
64,480149226,-2,Rostrolateral lateral visual area layer 6b,VISrll6b,480149202,10,64,/997/8/567/688/695/315/453/322/329/480149202/480149226/,188064,#188064,Rostrolateral lateral visual area layer 6b,329,315
65,337,749,Primary somatosensory area lower limb,SSp-ll,322,8,65,/997/8/567/688/695/315/453/322/337/,188064,#188064,Primary somatosensory area lower limb,337,315
66,1030,977,Primary somatosensory area lower limb layer 1,SSp-ll1,337,9,66,/997/8/567/688/695/315/453/322/337/1030/,188064,#188064,Primary somatosensory area lower limb layer 1,337,315
67,113,1004,Primary somatosensory area lower limb layer 2/3,SSp-ll2/3,337,9,67,/997/8/567/688/695/315/453/322/337/113/,188064,#188064,Primary somatosensory area lower limb layer 2/3,337,315
